Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-06-02,0.2,0.2,0.2,0.2
2020-06-03,0.2,0.2,0.2,0.2
2020-06-04,0.2,0.2,0.2,0.2
2020-06-05,0.2,0.2,0.2,0.2
2020-06-08,0.2,0.2,0.2,0.2
2020-06-09,0.2,0.2,0.2,0.2
2020-06-10,0.2,0.2,0.2,0.2
2020-06-12,0.2,0.2,0.2,0.2
2020-06-15,0.2,0.2,0.2,0.2
2020-06-16,0.2,0.2,0.2,0.2
2020-06-17,0.2,0.2,0.2,0.2
2020-06-18,0.2,0.2,0.2,0.2
2020-06-19,0.2,0.2,0.2,0.2
2020-06-22,0.2,0.2,0.2,0.2
2020-06-23,0.2,0.2,0.2,0.2
2020-06-24,0.19,0.19,0.19,0.19
2020-06-25,0.19,0.19,0.19,0.19
2020-06-26,0.19,0.19,0.19,0.19
2020-06-29,0.19,0.19,0.19,0.19
2020-06-30,0.19,0.19,0.19,0.19
2020-07-01,0.19,0.19,0.19,0.19
2020-07-02,0.19,0.19,0.19,0.19
2020-07-03,0.19,0.19,0.19,0.19
2020-07-06,0.19,0.19,0.19,0.19
2020-07-07,0.19,0.19,0.19,0.19
2020-07-08,0.19,0.19,0.19,0.19
2020-07-09,0.19,0.19,0.19,0.19
2020-07-10,0.19,0.19,0.19,0.19
2020-07-13,0.19,0.19,0.19,0.19
2020-07-14,0.18,0.18,0.18,0.18
2020-07-15,0.18,0.18,0.18,0.18
2020-07-16,0.18,0.18,0.18,0.18
2020-07-17,0.18,0.18,0.18,0.18
2020-07-20,0.18,0.18,0.18,0.18
2020-07-21,0.18,0.18,0.18,0.18
2020-07-22,0.18,0.18,0.18,0.18
2020-07-23,0.18,0.18,0.18,0.18
2020-07-24,0.18,0.18,0.18,0.18
2020-07-27,0.18,0.18,0.18,0.18
2020-07-28,0.18,0.18,0.18,0.18
2020-07-29,0.18,0.18,0.18,0.18
2020-07-30,0.18,0.18,0.18,0.18
2020-07-31,0.18,0.18,0.18,0.18
2020-08-03,0.17,0.17,0.17,0.17
2020-08-04,0.17,0.17,0.17,0.17
2020-08-05,0.17,0.17,0.17,0.17
2020-08-06,0.17,0.17,0.17,0.17
2020-08-07,0.17,0.17,0.17,0.17
2020-08-10,0.17,0.17,0.17,0.17
2020-08-11,0.17,0.17,0.17,0.17
2020-08-12,0.17,0.17,0.17,0.17
2020-08-13,0.17,0.17,0.17,0.17
2020-08-14,0.17,0.17,0.17,0.17
2020-08-17,0.17,0.17,0.17,0.17
2020-08-18,0.17,0.17,0.17,0.17
2020-08-19,0.17,0.17,0.17,0.17
2020-08-20,0.17,0.17,0.17,0.17
2020-08-21,0.17,0.17,0.17,0.17
2020-08-24,0.17,0.17,0.17,0.17
2020-08-25,0.17,0.17,0.17,0.17
2020-08-26,0.17,0.17,0.17,0.17
2020-08-27,0.17,0.17,0.17,0.17
2020-08-28,0.17,0.17,0.17,0.17
2020-08-31,0.17,0.17,0.17,0.17
2020-09-01,0.17,0.17,0.17,0.17
2020-09-02,0.17,0.17,0.17,0.17
2020-09-03,0.17,0.17,0.17,0.17
2020-09-04,0.17,0.17,0.17,0.17
2020-09-07,0.17,0.17,0.17,0.17
2020-09-08,0.17,0.17,0.17,0.17
2020-09-09,0.17,0.17,0.17,0.17
2020-09-10,0.17,0.17,0.17,0.17
2020-09-11,0.17,0.17,0.17,0.17
2020-09-14,0.17,0.17,0.17,0.17
2020-09-15,0.17,0.17,0.17,0.17
2020-09-16,0.17,0.17,0.17,0.17
2020-09-17,0.17,0.17,0.17,0.17
2020-09-18,0.17,0.17,0.17,0.17
2020-09-21,0.17,0.17,0.17,0.17
2020-09-22,0.17,0.17,0.17,0.17
2020-09-23,0.17,0.17,0.17,0.17
2020-09-24,0.17,0.17,0.17,0.17
2020-09-25,0.17,0.17,0.17,0.17
2020-09-28,0.17,0.17,0.17,0.17
2020-09-29,0.17,0.17,0.17,0.17
2020-09-30,0.17,0.17,0.17,0.17
2020-10-01,0.17,0.17,0.17,0.17
2020-10-02,0.17,0.17,0.17,0.17
2020-10-05,0.17,0.17,0.17,0.17
2020-10-06,0.17,0.17,0.17,0.17
2020-10-07,0.17,0.17,0.17,0.17
2020-10-08,0.17,0.17,0.17,0.17
2020-10-09,0.17,0.17,0.17,0.17
2020-10-12,0.17,0.17,0.17,0.17
2020-10-13,0.17,0.17,0.17,0.17
2020-10-14,0.17,0.17,0.17,0.17
2020-10-15,0.17,0.17,0.17,0.17
2020-10-16,0.17,0.17,0.17,0.17
2020-10-19,0.17,0.17,0.17,0.17
2020-10-20,0.17,0.17,0.17,0.17
2020-10-21,0.17,0.17,0.17,0.17
2020-10-22,0.17,0.17,0.17,0.17
2020-10-23,0.17,0.17,0.17,0.17
2020-10-26,0.17,0.17,0.17,0.17
2020-10-27,0.17,0.17,0.17,0.17
2020-10-28,0.17,0.17,0.17,0.17
2020-10-29,0.17,0.17,0.17,0.17
2020-10-30,0.17,0.17,0.17,0.17
2020-11-02,0.17,0.17,0.17,0.17
2020-11-03,0.17,0.17,0.17,0.17
2020-11-04,0.17,0.17,0.17,0.17
2020-11-05,0.16,0.16,0.16,0.16
2020-11-06,0.16,0.16,0.16,0.16
2020-11-09,0.16,0.16,0.16,0.16
2020-11-10,0.16,0.16,0.16,0.16
2020-11-12,0.17,0.17,0.17,0.17
2020-11-13,0.17,0.17,0.17,0.17
2020-11-16,0.17,0.17,0.17,0.17
2020-11-17,0.17,0.17,0.17,0.17
2020-11-18,0.17,0.17,0.17,0.17
2020-11-19,0.17,0.17,0.17,0.17
2020-11-20,0.17,0.17,0.17,0.17
2020-11-23,0.17,0.17,0.17,0.17
2020-11-24,0.17,0.17,0.17,0.17
2020-11-25,0.17,0.17,0.17,0.17
2020-11-26,0.17,0.17,0.17,0.17
2020-11-27,0.17,0.17,0.17,0.17
2020-11-30,0.17,0.17,0.17,0.17
2020-12-01,0.17,0.17,0.17,0.17
2020-12-02,0.17,0.17,0.17,0.17
2020-12-03,0.17,0.17,0.17,0.17
2020-12-04,0.17,0.17,0.17,0.17
2020-12-07,0.17,0.17,0.17,0.17
2020-12-08,0.16,0.16,0.16,0.16
2020-12-09,0.16,0.16,0.16,0.16
2020-12-10,0.16,0.16,0.16,0.16
2020-12-11,0.16,0.16,0.16,0.16
2020-12-14,0.16,0.16,0.16,0.16
2020-12-15,0.16,0.16,0.16,0.16
2020-12-16,0.16,0.16,0.16,0.16
2020-12-17,0.16,0.16,0.16,0.16
2020-12-18,0.16,0.16,0.16,0.16
2020-12-21,0.17,0.17,0.17,0.17
2020-12-22,0.17,0.17,0.17,0.17
2020-12-23,0.17,0.17,0.17,0.17
2020-12-24,0.17,0.17,0.17,0.17
2020-12-28,0.17,0.17,0.17,0.17
2020-12-29,0.17,0.17,0.17,0.17
2020-12-30,0.17,0.17,0.17,0.17
2020-12-31,0.17,0.17,0.17,0.17
2021-01-04,0.17,0.17,0.17,0.17
2021-01-05,0.17,0.17,0.17,0.17
2021-01-07,0.17,0.17,0.17,0.17
2021-01-08,0.17,0.17,0.17,0.17
2021-01-11,0.17,0.17,0.17,0.17
2021-01-12,0.16,0.16,0.16,0.16
2021-01-13,0.17,0.17,0.17,0.17
2021-01-14,0.17,0.17,0.17,0.17
2021-01-15,0.17,0.17,0.17,0.17
2021-01-18,0.17,0.17,0.17,0.17
2021-01-19,0.17,0.17,0.17,0.17
2021-01-20,0.17,0.17,0.17,0.17
2021-01-21,0.17,0.17,0.17,0.17
2021-01-22,0.17,0.17,0.17,0.17
2021-01-25,0.17,0.17,0.17,0.17
2021-01-26,0.17,0.17,0.17,0.17
2021-01-27,0.17,0.17,0.17,0.17
2021-01-28,0.17,0.17,0.17,0.17
2021-01-29,0.16,0.16,0.16,0.16
2021-02-01,0.16,0.16,0.16,0.16
2021-02-02,0.16,0.16,0.16,0.16
2021-02-03,0.16,0.16,0.16,0.16
2021-02-04,0.16,0.16,0.16,0.16
2021-02-05,0.16,0.16,0.16,0.16
2021-02-08,0.16,0.16,0.16,0.16
2021-02-09,0.16,0.16,0.16,0.16
2021-02-10,0.16,0.16,0.16,0.16
2021-02-11,0.16,0.16,0.16,0.16
2021-02-12,0.16,0.16,0.16,0.16
2021-02-15,0.16,0.16,0.16,0.16
2021-02-16,0.16,0.16,0.16,0.16
2021-02-17,0.16,0.16,0.16,0.16
2021-02-18,0.16,0.16,0.16,0.16
2021-02-19,0.16,0.16,0.16,0.16
2021-02-22,0.16,0.16,0.16,0.16
2021-02-23,0.16,0.16,0.16,0.16
2021-02-24,0.16,0.16,0.16,0.16
2021-02-25,0.16,0.16,0.16,0.16
2021-02-26,0.16,0.16,0.16,0.16
2021-03-01,0.16,0.16,0.16,0.16
2021-03-02,0.16,0.16,0.16,0.16
2021-03-03,0.16,0.16,0.16,0.16
2021-03-04,0.16,0.16,0.16,0.16
2021-03-05,0.16,0.16,0.16,0.16
2021-03-08,0.16,0.16,0.16,0.16
2021-03-09,0.16,0.16,0.16,0.16
2021-03-10,0.16,0.16,0.16,0.16
2021-03-11,0.16,0.16,0.16,0.16
2021-03-12,0.16,0.16,0.16,0.16
2021-03-15,0.16,0.16,0.16,0.16
2021-03-16,0.16,0.16,0.16,0.16
2021-03-17,0.16,0.16,0.16,0.16
2021-03-18,0.16,0.16,0.16,0.16
2021-03-19,0.16,0.16,0.16,0.16
2021-03-22,0.16,0.16,0.16,0.16
2021-03-23,0.16,0.16,0.16,0.16
2021-03-24,0.16,0.16,0.16,0.16
2021-03-25,0.16,0.16,0.16,0.16
2021-03-26,0.16,0.16,0.16,0.16
2021-03-29,0.16,0.16,0.16,0.16
2021-03-30,0.16,0.16,0.16,0.16
2021-03-31,0.16,0.16,0.16,0.16
2021-04-01,0.16,0.16,0.16,0.16
2021-04-02,0.16,0.16,0.16,0.16
2021-04-06,0.16,0.16,0.16,0.16
2021-04-07,0.16,0.16,0.16,0.16
2021-04-08,0.16,0.16,0.16,0.16
2021-04-09,0.16,0.16,0.16,0.16
2021-04-12,0.16,0.16,0.16,0.16
2021-04-13,0.16,0.16,0.16,0.16
2021-04-14,0.16,0.16,0.16,0.16
2021-04-15,0.16,0.16,0.16,0.16
2021-04-16,0.16,0.16,0.16,0.16
2021-04-19,0.16,0.16,0.16,0.16
2021-04-20,0.16,0.16,0.16,0.16
2021-04-21,0.16,0.16,0.16,0.16
2021-04-22,0.16,0.16,0.16,0.16
2021-04-23,0.16,0.16,0.16,0.16
2021-04-26,0.16,0.16,0.16,0.16
2021-04-27,0.16,0.16,0.16,0.16
2021-04-28,0.16,0.16,0.16,0.16
2021-04-29,0.16,0.16,0.16,0.16
2021-04-30,0.16,0.16,0.16,0.16
2021-05-04,0.16,0.16,0.16,0.16
2021-05-05,0.16,0.16,0.16,0.16
2021-05-06,0.16,0.16,0.16,0.16
2021-05-07,0.16,0.16,0.16,0.16
2021-05-10,0.16,0.16,0.16,0.16
2021-05-11,0.16,0.16,0.16,0.16
2021-05-12,0.16,0.16,0.16,0.16
2021-05-13,0.16,0.16,0.16,0.16
2021-05-14,0.16,0.16,0.16,0.16
2021-05-17,0.16,0.16,0.16,0.16
2021-05-18,0.16,0.16,0.16,0.16
2021-05-19,0.16,0.16,0.16,0.16
2021-05-20,0.16,0.16,0.16,0.16
2021-05-21,0.16,0.16,0.16,0.16
2021-05-24,0.16,0.16,0.16,0.16
2021-05-25,0.16,0.16,0.16,0.16
2021-05-26,0.16,0.16,0.16,0.16
2021-05-27,0.16,0.16,0.16,0.16
2021-05-28,0.16,0.16,0.16,0.16
2021-05-31,0.16,0.16,0.16,0.16
2021-06-01,0.16,0.16,0.16,0.16
2021-06-02,0.16,0.16,0.16,0.16
2021-06-04,0.16,0.16,0.16,0.16
2021-06-07,0.16,0.16,0.16,0.16
2021-06-08,0.16,0.16,0.16,0.16
2021-06-09,0.16,0.16,0.16,0.16
2021-06-10,0.16,0.16,0.16,0.16
2021-06-11,0.16,0.16,0.16,0.16
2021-06-14,0.16,0.16,0.16,0.16
2021-06-15,0.16,0.16,0.16,0.16
2021-06-16,0.16,0.16,0.16,0.16
2021-06-17,0.16,0.16,0.16,0.16
2021-06-18,0.16,0.16,0.16,0.16
2021-06-21,0.16,0.16,0.16,0.16
2021-06-22,0.16,0.16,0.16,0.16
2021-06-23,0.16,0.16,0.16,0.16
2021-06-24,0.16,0.16,0.16,0.16
2021-06-25,0.16,0.16,0.16,0.16
2021-06-28,0.16,0.16,0.16,0.16
2021-06-29,0.16,0.16,0.16,0.16
2021-06-30,0.16,0.16,0.16,0.16
2021-07-01,0.16,0.16,0.16,0.16
2021-07-02,0.16,0.16,0.16,0.16
2021-07-05,0.16,0.16,0.16,0.16
2021-07-06,0.16,0.16,0.16,0.16
2021-07-07,0.16,0.16,0.16,0.16
2021-07-08,0.16,0.16,0.16,0.16
2021-07-09,0.16,0.16,0.16,0.16
2021-07-12,0.16,0.16,0.16,0.16
2021-07-13,0.16,0.16,0.16,0.16
2021-07-14,0.16,0.16,0.16,0.16
2021-07-15,0.16,0.16,0.16,0.16
2021-07-16,0.16,0.16,0.16,0.16
2021-07-19,0.16,0.16,0.16,0.16
2021-07-20,0.16,0.16,0.16,0.16
2021-07-21,0.16,0.16,0.16,0.16
2021-07-22,0.16,0.16,0.16,0.16
2021-07-23,0.16,0.16,0.16,0.16
2021-07-26,0.16,0.16,0.16,0.16
2021-07-27,0.16,0.16,0.16,0.16
2021-07-28,0.16,0.16,0.16,0.16
2021-07-29,0.16,0.16,0.16,0.16
2021-07-30,0.16,0.16,0.16,0.16
2021-08-02,0.16,0.16,0.16,0.16
2021-08-03,0.16,0.16,0.16,0.16
2021-08-04,0.16,0.16,0.16,0.16
2021-08-05,0.16,0.16,0.16,0.16
2021-08-06,0.16,0.16,0.16,0.16
2021-08-09,0.16,0.16,0.16,0.16
2021-08-10,0.16,0.16,0.16,0.16
2021-08-11,0.16,0.16,0.16,0.16
2021-08-12,0.16,0.16,0.16,0.16
2021-08-13,0.16,0.16,0.16,0.16
2021-08-16,0.16,0.16,0.16,0.16
2021-08-17,0.16,0.16,0.16,0.16
2021-08-18,0.16,0.16,0.16,0.16
2021-08-19,0.16,0.16,0.16,0.16
2021-08-20,0.16,0.16,0.16,0.16
2021-08-23,0.16,0.16,0.16,0.16
2021-08-24,0.16,0.16,0.16,0.16
2021-08-25,0.16,0.16,0.16,0.16
2021-08-26,0.16,0.16,0.16,0.16
2021-08-27,0.16,0.16,0.16,0.16
2021-08-30,0.16,0.16,0.16,0.16
2021-08-31,0.16,0.16,0.16,0.16
2021-09-01,0.16,0.16,0.16,0.16
2021-09-02,0.16,0.16,0.16,0.16
2021-09-03,0.16,0.16,0.16,0.16
2021-09-06,0.16,0.16,0.16,0.16
2021-09-07,0.16,0.16,0.16,0.16
2021-09-08,0.16,0.16,0.16,0.16
2021-09-09,0.16,0.16,0.16,0.16
2021-09-10,0.16,0.16,0.16,0.16
2021-09-13,0.16,0.16,0.16,0.16
2021-09-14,0.16,0.16,0.16,0.16
2021-09-15,0.16,0.16,0.16,0.16
2021-09-16,0.16,0.16,0.16,0.16
2021-09-17,0.16,0.16,0.16,0.16
2021-09-20,0.16,0.16,0.16,0.16
2021-09-21,0.16,0.16,0.16,0.16
2021-09-22,0.16,0.16,0.16,0.16
2021-09-23,0.16,0.16,0.16,0.16
2021-09-24,0.16,0.16,0.16,0.16
2021-09-27,0.16,0.16,0.16,0.16
2021-09-28,0.16,0.16,0.16,0.16
2021-09-29,0.16,0.16,0.16,0.16
2021-09-30,0.16,0.16,0.16,0.16
2021-10-01,0.16,0.16,0.16,0.16
2021-10-04,0.16,0.16,0.16,0.16
2021-10-05,0.16,0.16,0.16,0.16
2021-10-06,0.16,0.16,0.16,0.16
2021-10-07,0.51,0.51,0.51,0.51
2021-10-08,0.5,0.5,0.5,0.5
2021-10-11,0.5,0.5,0.5,0.5
2021-10-12,0.5,0.5,0.5,0.5
2021-10-13,0.51,0.51,0.51,0.51
2021-10-14,0.51,0.51,0.51,0.51
2021-10-15,0.51,0.51,0.51,0.51
2021-10-18,0.51,0.51,0.51,0.51
2021-10-19,0.51,0.51,0.51,0.51
2021-10-20,0.51,0.51,0.51,0.51
2021-10-21,0.52,0.52,0.52,0.52
2021-10-22,0.52,0.52,0.52,0.52
2021-10-25,0.52,0.52,0.52,0.52
2021-10-26,0.53,0.53,0.53,0.53
2021-10-27,0.54,0.54,0.54,0.54
2021-10-28,0.54,0.54,0.54,0.54
2021-10-29,0.56,0.56,0.56,0.56
2021-11-02,0.61,0.61,0.61,0.61
2021-11-03,0.66,0.66,0.66,0.66
2021-11-04,1.26,1.26,1.26,1.26
2021-11-05,1.26,1.26,1.26,1.26
2021-11-08,1.26,1.26,1.26,1.26
2021-11-09,1.26,1.26,1.26,1.26
2021-11-10,1.26,1.26,1.26,1.26
2021-11-12,1.26,1.26,1.26,1.26
2021-11-15,1.27,1.27,1.27,1.27
2021-11-16,1.27,1.27,1.27,1.27
2021-11-17,1.28,1.28,1.28,1.28
2021-11-18,1.28,1.28,1.28,1.28
2021-11-19,1.28,1.28,1.28,1.28
2021-11-22,1.29,1.29,1.29,1.29
2021-11-23,1.29,1.29,1.29,1.29
2021-11-24,1.3,1.3,1.3,1.3
2021-11-25,1.33,1.33,1.33,1.33
2021-11-26,1.37,1.37,1.37,1.37
2021-11-29,1.4,1.4,1.4,1.4
2021-11-30,1.47,1.47,1.47,1.47
2021-12-01,1.57,1.57,1.57,1.57
2021-12-02,1.65,1.65,1.65,1.65
2021-12-03,1.7,1.7,1.7,1.7
2021-12-06,1.75,1.75,1.75,1.75
2021-12-07,1.81,1.81,1.81,1.81
2021-12-08,1.86,1.86,1.86,1.86
2021-12-09,1.82,1.82,1.82,1.82
2021-12-10,1.8,1.8,1.8,1.8
2021-12-13,1.8,1.8,1.8,1.8
2021-12-14,1.8,1.8,1.8,1.8
2021-12-15,1.8,1.8,1.8,1.8
2021-12-16,1.8,1.8,1.8,1.8
2021-12-17,1.8,1.8,1.8,1.8
2021-12-20,1.8,1.8,1.8,1.8
2021-12-21,1.8,1.8,1.8,1.8
2021-12-22,1.8,1.8,1.8,1.8
2021-12-23,1.8,1.8,1.8,1.8
2021-12-24,1.84,1.84,1.84,1.84
2021-12-27,1.91,1.91,1.91,1.91
2021-12-28,1.97,1.97,1.97,1.97
2021-12-29,1.99,1.99,1.99,1.99
2021-12-30,2.1,2.1,2.1,2.1
2021-12-31,2.18,2.18,2.18,2.18
2022-01-03,2.25,2.25,2.25,2.25
2022-01-04,2.29,2.29,2.29,2.29
2022-01-05,2.29,2.29,2.29,2.29
2022-01-07,2.29,2.29,2.29,2.29
2022-01-10,2.29,2.29,2.29,2.29
2022-01-11,2.3,2.3,2.3,2.3
2022-01-12,2.3,2.3,2.3,2.3
2022-01-13,2.3,2.3,2.3,2.3
2022-01-14,2.3,2.3,2.3,2.3
2022-01-17,2.3,2.3,2.3,2.3
2022-01-18,2.3,2.3,2.3,2.3
2022-01-19,2.3,2.3,2.3,2.3
2022-01-20,2.3,2.3,2.3,2.3
2022-01-21,2.3,2.3,2.3,2.3
2022-01-24,2.3,2.3,2.3,2.3
2022-01-25,2.31,2.31,2.31,2.31
2022-01-26,2.32,2.32,2.32,2.32
2022-01-27,2.37,2.37,2.37,2.37
2022-01-28,2.43,2.43,2.43,2.43
2022-01-31,2.5,2.5,2.5,2.5
2022-02-01,2.55,2.55,2.55,2.55
2022-02-02,2.57,2.57,2.57,2.57
2022-02-03,2.62,2.62,2.62,2.62
2022-02-04,2.68,2.68,2.68,2.68
2022-02-07,2.75,2.75,2.75,2.75
2022-02-08,2.77,2.77,2.77,2.77
2022-02-09,2.78,2.78,2.78,2.78
2022-02-10,2.79,2.79,2.79,2.79
2022-02-11,2.79,2.79,2.79,2.79
2022-02-14,2.79,2.79,2.79,2.79
2022-02-15,2.79,2.79,2.79,2.79
2022-02-16,2.79,2.79,2.79,2.79
2022-02-17,2.8,2.8,2.8,2.8
2022-02-18,2.8,2.8,2.8,2.8
2022-02-21,2.8,2.8,2.8,2.8
2022-02-22,2.8,2.8,2.8,2.8
2022-02-23,2.82,2.82,2.82,2.82
2022-02-24,2.87,2.87,2.87,2.87
2022-02-25,2.94,2.94,2.94,2.94
2022-02-28,3.02,3.02,3.02,3.02
2022-03-01,3.05,3.05,3.05,3.05
2022-03-02,3.1,3.1,3.1,3.1
2022-03-03,3.14,3.14,3.14,3.14
2022-03-04,3.23,3.23,3.23,3.23
2022-03-07,3.3,3.3,3.3,3.3
2022-03-08,3.46,3.46,3.46,3.46
2022-03-09,3.58,3.58,3.58,3.58
2022-03-10,3.55,3.55,3.55,3.55
2022-03-11,3.55,3.55,3.55,3.55
2022-03-14,3.57,3.57,3.57,3.57
2022-03-15,3.57,3.57,3.57,3.57
2022-03-16,3.58,3.58,3.58,3.58
2022-03-17,3.57,3.57,3.57,3.57
2022-03-18,3.57,3.57,3.57,3.57
2022-03-21,3.59,3.59,3.59,3.59
2022-03-22,3.6,3.6,3.6,3.6
2022-03-23,3.62,3.62,3.62,3.62
2022-03-24,3.66,3.66,3.66,3.66
2022-03-25,3.7,3.7,3.7,3.7
2022-03-28,3.78,3.78,3.78,3.78
2022-03-29,3.84,3.84,3.84,3.84
2022-03-30,3.91,3.91,3.91,3.91
2022-03-31,3.97,3.97,3.97,3.97
2022-04-01,4.01,4.01,4.01,4.01
2022-04-04,4.11,4.11,4.11,4.11
2022-04-05,4.18,4.18,4.18,4.18
2022-04-06,4.26,4.26,4.26,4.26
2022-04-07,4.58,4.58,4.58,4.58
2022-04-08,4.59,4.59,4.59,4.59
2022-04-11,4.59,4.59,4.59,4.59
2022-04-12,4.59,4.59,4.59,4.59
2022-04-13,4.59,4.59,4.59,4.59
2022-04-14,4.6,4.6,4.6,4.6
2022-04-15,4.6,4.6,4.6,4.6
2022-04-19,4.61,4.61,4.61,4.61
2022-04-20,4.62,4.62,4.62,4.62
2022-04-21,4.67,4.67,4.67,4.67
2022-04-22,4.75,4.75,4.75,4.75
2022-04-25,4.79,4.79,4.79,4.79
2022-04-26,4.84,4.84,4.84,4.84
2022-04-27,4.89,4.89,4.89,4.89
2022-04-28,4.97,4.97,4.97,4.97
2022-04-29,5.19,5.19,5.19,5.19
2022-05-02,5.32,5.32,5.32,5.32
2022-05-04,5.53,5.53,5.53,5.53
2022-05-05,5.55,5.55,5.55,5.55
2022-05-06,5.33,5.33,5.33,5.33
2022-05-09,5.35,5.35,5.35,5.35
2022-05-10,5.37,5.37,5.37,5.37
2022-05-11,5.38,5.38,5.38,5.38
2022-05-12,5.38,5.38,5.38,5.38
2022-05-13,5.39,5.39,5.39,5.39
2022-05-16,5.39,5.39,5.39,5.39
2022-05-17,5.39,5.39,5.39,5.39
2022-05-18,5.38,5.38,5.38,5.38
2022-05-19,5.37,5.37,5.37,5.37
2022-05-20,5.38,5.38,5.38,5.38
2022-05-23,5.39,5.39,5.39,5.39
2022-05-24,5.4,5.4,5.4,5.4
2022-05-25,5.43,5.43,5.43,5.43
2022-05-26,5.51,5.51,5.51,5.51
2022-05-27,5.57,5.57,5.57,5.57
2022-05-30,5.62,5.62,5.62,5.62
2022-05-31,5.69,5.69,5.69,5.69
2022-06-01,5.73,5.73,5.73,5.73
2022-06-02,5.81,5.81,5.81,5.81
2022-06-03,5.91,5.91,5.91,5.91
2022-06-06,6,6,6,6
2022-06-07,6.04,6.04,6.04,6.04
2022-06-08,6.07,6.07,6.07,6.07
2022-06-09,6.1,6.1,6.1,6.1
2022-06-10,6.1,6.1,6.1,6.1
2022-06-13,6.11,6.11,6.11,6.11
2022-06-14,6.13,6.13,6.13,6.13
2022-06-15,6.13,6.13,6.13,6.13
2022-06-17,6.16,6.16,6.16,6.16
2022-06-20,6.18,6.18,6.18,6.18
2022-06-21,6.18,6.18,6.18,6.18
2022-06-22,6.2,6.2,6.2,6.2
2022-06-23,6.25,6.25,6.25,6.25
2022-06-24,6.29,6.29,6.29,6.29
2022-06-27,6.33,6.33,6.33,6.33
2022-06-28,6.36,6.36,6.36,6.36
2022-06-29,6.42,6.42,6.42,6.42
2022-06-30,6.45,6.45,6.45,6.45
2022-07-01,6.56,6.56,6.56,6.56
2022-07-04,6.65,6.65,6.65,6.65
2022-07-05,6.68,6.68,6.68,6.68
2022-07-06,6.75,6.75,6.75,6.75
2022-07-07,6.82,6.82,6.82,6.82
2022-07-08,6.7,6.7,6.7,6.7
2022-07-11,6.66,6.66,6.66,6.66
2022-07-12,6.65,6.65,6.65,6.65
2022-07-13,6.61,6.61,6.61,6.61
2022-07-14,6.63,6.63,6.63,6.63
2022-07-15,6.63,6.63,6.63,6.63
2022-07-18,6.64,6.64,6.64,6.64
2022-07-19,6.64,6.64,6.64,6.64
2022-07-20,6.63,6.63,6.63,6.63
2022-07-21,6.65,6.65,6.65,6.65
2022-07-22,6.65,6.65,6.65,6.65
2022-07-25,6.66,6.66,6.66,6.66
2022-07-26,6.66,6.66,6.66,6.66
2022-07-27,6.66,6.66,6.66,6.66
2022-07-28,6.64,6.64,6.64,6.64
2022-07-29,6.71,6.71,6.71,6.71
2022-08-01,6.79,6.79,6.79,6.79
2022-08-02,6.83,6.83,6.83,6.83
2022-08-03,6.81,6.81,6.81,6.81
2022-08-04,6.82,6.82,6.82,6.82
2022-08-05,6.79,6.79,6.79,6.79
2022-08-08,6.79,6.79,6.79,6.79
2022-08-09,6.79,6.79,6.79,6.79
2022-08-10,6.74,6.74,6.74,6.74
2022-08-11,6.76,6.76,6.76,6.76
2022-08-12,6.74,6.74,6.74,6.74
2022-08-16,6.74,6.74,6.74,6.74
2022-08-17,6.8,6.8,6.8,6.8
2022-08-18,6.79,6.79,6.79,6.79
2022-08-19,6.77,6.77,6.77,6.77
2022-08-22,6.77,6.77,6.77,6.77
2022-08-23,6.77,6.77,6.77,6.77
2022-08-24,6.78,6.78,6.78,6.78
2022-08-25,6.8,6.8,6.8,6.8
2022-08-26,6.83,6.83,6.83,6.83
2022-08-29,6.84,6.84,6.84,6.84
2022-08-30,6.86,6.86,6.86,6.86
2022-08-31,6.89,6.89,6.89,6.89
2022-09-01,6.93,6.93,6.93,6.93
2022-09-02,6.95,6.95,6.95,6.95
2022-09-05,6.97,6.97,6.97,6.97
2022-09-06,6.99,6.99,6.99,6.99
2022-09-07,7,7,7,7
2022-09-08,6.92,6.92,6.92,6.92
2022-09-09,6.96,6.96,6.96,6.96
2022-09-12,6.91,6.91,6.91,6.91
2022-09-13,6.91,6.91,6.91,6.91
2022-09-14,6.9,6.9,6.9,6.9
2022-09-15,6.9,6.9,6.9,6.9
2022-09-16,6.91,6.91,6.91,6.91
2022-09-19,6.97,6.97,6.97,6.97
2022-09-20,6.99,6.99,6.99,6.99
2022-09-21,6.99,6.99,6.99,6.99
2022-09-22,7,7,7,7
2022-09-23,7.01,7.01,7.01,7.01
2022-09-26,7,7,7,7
2022-09-27,7.01,7.01,7.01,7.01
2022-09-28,7.02,7.02,7.02,7.02
2022-09-29,7.04,7.04,7.04,7.04
2022-09-30,7.08,7.08,7.08,7.08
2022-10-03,7.09,7.09,7.09,7.09
2022-10-04,7.18,7.18,7.18,7.18
2022-10-05,7.18,7.18,7.18,7.18
2022-10-06,6.98,6.98,6.98,6.98
2022-10-07,6.98,6.98,6.98,6.98
2022-10-10,6.95,6.95,6.95,6.95
2022-10-11,6.95,6.95,6.95,6.95
2022-10-12,6.97,6.97,6.97,6.97
2022-10-13,6.91,6.91,6.91,6.91
2022-10-14,6.89,6.89,6.89,6.89
2022-10-17,6.94,6.94,6.94,6.94
2022-10-18,6.94,6.94,6.94,6.94
2022-10-19,6.95,6.95,6.95,6.95
2022-10-20,6.94,6.94,6.94,6.94
